booking_date,property,country,channel,room_nights,room_revenue
2026-04-04,MOUNT CINNAMON,Germany,Booking.com,5,328361
2026-04-20,VILLA SAYURA,Australia,Expedia,6,378914
2026-04-13,CINNAMON MUSEUM,India,Booking.com,3,96542
2026-04-17,CINNAMON MUSEUM,India,Travel Agent,6,753204
2026-05-14,GARFIELD VILLA,Sri Lanka,Travel Agent,3,703425
2026-04-24,MOUNT CINNAMON,Germany,Agoda,3,749287
2026-05-13,CINNAMON MUSEUM,USA,Expedia,5,183470
2026-05-22,GARFIELD VILLA,Australia,Travel Agent,6,232480
2026-05-18,KAHA,Sri Lanka,Expedia,3,270392
2026-05-15,CINNAMON MUSEUM,Australia,Airbnb,6,274082
2026-04-22,MIRISSA HILLS,Sri Lanka,Expedia,5,746101
2026-04-27,MOUNT CINNAMON,UK,Travel Agent,3,285552
2026-04-01,GARFIELD VILLA,Sri Lanka,Booking.com,4,690967
2026-05-14,GARFIELD BUNGALOW,USA,Agoda,2,780180
2026-05-13,CINNAMON MUSEUM,UK,Booking.com,6,771024
2026-04-25,VILLA SAYURA,Australia,Booking.com,2,779716
2026-04-18,MIRISSA HILLS,UK,Direct,4,189816
2026-05-25,MIRISSA HILLS,Australia,Agoda,7,579298
2026-05-06,CINNAMON MUSEUM,USA,Airbnb,4,321782
2026-05-25,GARFIELD VILLA,India,Airbnb,6,300867
2026-05-03,KAHA,USA,Expedia,2,334913
2026-05-18,MOUNT CINNAMON,Sri Lanka,Booking.com,2,292495
2026-04-23,CINNAMON MUSEUM,UK,Direct,4,477398
2026-05-14,MOUNT CINNAMON,Sri Lanka,Booking.com,7,490552
2026-04-28,CINNAMON MUSEUM,India,Airbnb,4,56182
2026-05-25,MOUNT CINNAMON,Australia,Airbnb,5,622661
2026-05-08,GARFIELD VILLA,Germany,Airbnb,4,80434
2026-05-22,CINNAMON MUSEUM,USA,Airbnb,6,223061
2026-04-20,MIRISSA HILLS,India,Direct,4,670644
2026-04-21,VILLA SAYURA,Australia,Booking.com,7,534125
2026-04-09,GARFIELD COTTAGE,Australia,Expedia,2,526786
2026-05-25,MOUNT CINNAMON,Australia,Expedia,7,492042
2026-04-16,KAHA,Sri Lanka,Travel Agent,5,104615
2026-04-21,MOUNT CINNAMON,Sri Lanka,Travel Agent,1,82537
2026-04-27,GARFIELD VILLA,Sri Lanka,Agoda,2,300132
2026-05-22,GARFIELD COTTAGE,Sri Lanka,Agoda,2,537623
2026-05-06,KAHA,India,Agoda,6,170096
2026-05-04,GARFIELD COTTAGE,India,Direct,3,653766
2026-05-23,CINNAMON MUSEUM,UK,Direct,5,774161
2026-04-23,GARFIELD VILLA,Germany,Travel Agent,5,176935
2026-05-18,VILLA SAYURA,Australia,Travel Agent,3,122306
2026-04-28,MOUNT CINNAMON,Australia,Airbnb,1,504582
2026-05-23,MOUNT CINNAMON,UK,Airbnb,2,597091
2026-05-15,KAHA,Australia,Travel Agent,5,331433
2026-04-27,MOUNT CINNAMON,Sri Lanka,Expedia,4,305709
2026-05-11,MIRISSA HILLS,Sri Lanka,Airbnb,7,390802
2026-05-07,GARFIELD COTTAGE,Germany,Expedia,3,343243
2026-04-17,KAHA,UK,Direct,2,476170
2026-04-23,MIRISSA HILLS,Australia,Travel Agent,6,564663
2026-04-03,MIRISSA HILLS,Germany,Booking.com,4,775391
2026-05-22,GARFIELD VILLA,India,Expedia,4,630358
2026-05-24,MOUNT CINNAMON,India,Expedia,3,786996
2026-05-10,MIRISSA HILLS,Germany,Booking.com,1,251939
